Stateandterritory,Industry,Category,PersonsMedianweeklyearnings,MalesMedianweeklyearnings,FemalesMedianweeklyearnings
Queensland,Wholesale trade,Skill level 5,1040.83,1035.514,1000.82
Queensland,Retail trade,Full-time,1145.005,1248.223,1086.564
Queensland,Retail trade,Part-time,463.526,384.025,500
Queensland,Retail trade,Skill level 1,1742.009,2716.36,1617.943
Queensland,Retail trade,Skill level 2,1300,1405.184,759.642
Queensland,Retail trade,Skill level 3,1124.267,1243.342,922.297
Queensland,Retail trade,Skill level 4,1077.198,1000,1102.519
Queensland,Retail trade,Skill level 5,535.02,500,600
Queensland,Accommodation and food services,Full-time,1150,1232.948,1099.337
Queensland,Accommodation and food services,Part-time,350,327.892,351.714
Queensland,Accommodation and food services,Skill level 1,0,0,0
Queensland,Accommodation and food services,Skill level 2,1239.458,1333.753,1117.979
Queensland,Accommodation and food services,Skill level 3,1068.395,0,0
Queensland,Accommodation and food services,Skill level 4,600,673.828,481.763
Queensland,Accommodation and food services,Skill level 5,320.495,242.92,361.604
Queensland,"Transport, postal and warehousing",Full-time,1677.471,1992.524,1378.304
Queensland,"Transport, postal and warehousing",Part-time,705.609,712.921,700
Queensland,"Transport, postal and warehousing",Skill level 1,2502.17,2524.484,2069.967
Queensland,"Transport, postal and warehousing",Skill level 2,2031.667,0,0
Queensland,"Transport, postal and warehousing",Skill level 3,1493.483,1877.542,1393.558
Queensland,"Transport, postal and warehousing",Skill level 4,1297.328,1302.999,1162.79
Queensland,"Transport, postal and warehousing",Skill level 5,1235.603,1415.099,1122.442
Queensland,Information Media and telecommunications,Full-time,1718.879,1812.704,0
Queensland,Information Media and telecommunications,Part-time,457.922,334.397,0
Queensland,Information Media and telecommunications,Skill level 1,2564.619,0,0
Queensland,Information Media and telecommunications,Skill level 2,0,0,0
Queensland,Information Media and telecommunications,Skill level 3,0,0,0
Queensland,Information Media and telecommunications,Skill level 4,625.362,0,0
Queensland,Information Media and telecommunications,Skill level 5,0,0,0
Queensland,Financial and insurance services,Full-time,1532.577,1595.583,1488.775
Queensland,Financial and insurance services,Part-time,720.544,0,754.727
Queensland,Financial and insurance services,Skill level 1,1880.587,2048.93,1700
Queensland,Financial and insurance services,Skill level 2,1629.098,0,1611.235
Queensland,Financial and insurance services,Skill level 3,1294.59,1368.383,1255.022
Queensland,Financial and insurance services,Skill level 4,1238.508,1249.766,1205.484
Queensland,Financial and insurance services,Skill level 5,0,0,0
Queensland,"Rental, hiring and real estate services",Full-time,1300,1506.855,1209.791
Queensland,"Rental, hiring and real estate services",Part-time,755.821,0,0
Queensland,"Rental, hiring and real estate services",Skill level 1,0,0,0
Queensland,"Rental, hiring and real estate services",Skill level 2,1297.161,0,1275.748
Queensland,"Rental, hiring and real estate services",Skill level 3,1095.967,1202.839,1107.232
Queensland,"Rental, hiring and real estate services",Skill level 4,1035.388,0,1036.343
Queensland,"Rental, hiring and real estate services",Skill level 5,0,0,0
Queensland,"Professional, scientific and technical services",Full-time,1913.377,2307.545,1500
Queensland,"Professional, scientific and technical services",Part-time,739.375,569.938,862.139
Queensland,"Professional, scientific and technical services",Skill level 1,2078.196,2304.337,1833.833
Queensland,"Professional, scientific and technical services",Skill level 2,1305.063,1838.926,1246.674
Queensland,"Professional, scientific and technical services",Skill level 3,1000,992.398,1000
Queensland,"Professional, scientific and technical services",Skill level 4,1268.656,0,1220.97
Queensland,"Professional, scientific and technical services",Skill level 5,0,0,0
Queensland,Administrative and support services,Full-time,1270.208,1303.305,1249.039
Queensland,Administrative and support services,Part-time,597.935,579.365,612.316
Queensland,Administrative and support services,Skill level 1,1458.325,1658.222,1384.868
Queensland,Administrative and support services,Skill level 2,1620.628,0,0
Queensland,Administrative and support services,Skill level 3,755.108,0,0
Queensland,Administrative and support services,Skill level 4,1221.468,0,1143.854
Queensland,Administrative and support services,Skill level 5,993.124,1099.482,880.281
Queensland,Public administration and safety,Full-time,1701.402,1800,1600
Queensland,Public administration and safety,Part-time,1022.678,997.398,1049.032
Queensland,Public administration and safety,Skill level 1,1839.756,2246.764,1754.519
Queensland,Public administration and safety,Skill level 2,1719.611,1737.347,1676.441
Queensland,Public administration and safety,Skill level 3,1691.65,1907.078,0
Queensland,Public administration and safety,Skill level 4,1341.718,1529.588,1249.459
Queensland,Public administration and safety,Skill level 5,1485.462,1556.451,1383.175
Queensland,Education and training,Full-time,1900,1943.344,1761.474
Queensland,Education and training,Part-time,900,1151.965,898.105
Queensland,Education and training,Skill level 1,1843.546,1942.245,1750
Queensland,Education and training,Skill level 2,1187.104,0,1158.527
Queensland,Education and training,Skill level 3,948.336,1043.752,861.01
Queensland,Education and training,Skill level 4,800,755.384,801.339
Queensland,Education and training,Skill level 5,554.247,0,562.964
Queensland,Health care and social assistance,Full-time,1557.121,1986.986,1500
Queensland,Health care and social assistance,Part-time,972.874,1037.429,959.021
Queensland,Health care and social assistance,Skill level 1,1757.69,2533.151,1612.801
Queensland,Health care and social assistance,Skill level 2,1199.911,1385.012,1151.012
Queensland,Health care and social assistance,Skill level 3,1000,0,1000
Queensland,Health care and social assistance,Skill level 4,935.497,1387.887,867.019
Queensland,Health care and social assistance,Skill level 5,950,1043.356,950
Queensland,Arts and recreation services,Full-time,1184.014,1322.39,1124.132
Queensland,Arts and recreation services,Part-time,559.075,482.418,716.936
Queensland,Arts and recreation services,Skill level 1,0,0,0
Queensland,Arts and recreation services,Skill level 2,0,0,0
Queensland,Arts and recreation services,Skill level 3,691.628,0,0
Queensland,Arts and recreation services,Skill level 4,700,0,0
Queensland,Arts and recreation services,Skill level 5,0,0,0
South Australia,"Agriculture, forestry and fishing",Full-time,1200,1100,1296.555
South Australia,"Agriculture, forestry and fishing",Part-time,434.74,0,759.361
South Australia,"Agriculture, forestry and fishing",Skill level 1,1178.728,880.528,1974.546
South Australia,"Agriculture, forestry and fishing",Skill level 2,0,0,0
South Australia,"Agriculture, forestry and fishing",Skill level 3,0,0,0
South Australia,"Agriculture, forestry and fishing",Skill level 4,1197.049,0,0
South Australia,"Agriculture, forestry and fishing",Skill level 5,1000,1000,833.387
South Australia,Mining,Full-time,1981.37,2331.817,1474.738
South Australia,Mining,Part-time,0,0,0
South Australia,Mining,Skill level 1,2456.347,2794.577,0
South Australia,Mining,Skill level 2,0,0,0
South Australia,Mining,Skill level 3,3367.704,3559.923,0
South Australia,Mining,Skill level 4,1722.151,1831.695,0
South Australia,Mining,Skill level 5,0,0,0
South Australia,Manufacturing,Full-time,1400.25,1441.767,1309.183
South Australia,Manufacturing,Part-time,645.062,670.725,641.448
South Australia,Manufacturing,Skill level 1,1604.319,1841,1481.596
South Australia,Manufacturing,Skill level 2,1385.502,2012.346,0
South Australia,Manufacturing,Skill level 3,1365.094,1368.694,0
South Australia,Manufacturing,Skill level 4,1115.379,1256.663,915.192
South Australia,Manufacturing,Skill level 5,1000,1200,664.348
South Australia,"Electricity, gas, water and waste services",Full-time,1822.823,1929.857,1453.553
South Australia,"Electricity, gas, water and waste services",Part-time,1001.085,0,1320.978
South Australia,"Electricity, gas, water and waste services",Skill level 1,2241.734,3164.434,1720.029
South Australia,"Electricity, gas, water and waste services",Skill level 2,0,0,0
South Australia,"Electricity, gas, water and waste services",Skill level 3,1944.023,1944.023,0
South Australia,"Electricity, gas, water and waste services",Skill level 4,1276.86,1113.891,0
South Australia,"Electricity, gas, water and waste services",Skill level 5,0,0,0
South Australia,Construction,Full-time,1400,1400,1284.594
South Australia,Construction,Part-time,677.484,450.989,759.673
South Australia,Construction,Skill level 1,1895.412,1898.344,0
South Australia,Construction,Skill level 2,1875.805,1837.893,0
South Australia,Construction,Skill level 3,1136.36,1129.111,0
South Australia,Construction,Skill level 4,1273.732,1472.846,930.928
South Australia,Construction,Skill level 5,1095.606,1090.086,0
South Australia,Wholesale trade,Full-time,1453.695,1447.034,1463.178
South Australia,Wholesale trade,Part-time,702.106,0,0
South Australia,Wholesale trade,Skill level 1,1916.537,2189.553,1542.52
South Australia,Wholesale trade,Skill level 2,0,0,0
South Australia,Wholesale trade,Skill level 3,0,0,0
South Australia,Wholesale trade,Skill level 4,1205.188,1229.003,1128.576
South Australia,Wholesale trade,Skill level 5,861.174,1119.033,0
South Australia,Retail trade,Full-time,1152.333,1297.205,1103.257
South Australia,Retail trade,Part-time,462.57,450.523,477.373
South Australia,Retail trade,Skill level 1,1802.001,1813.273,1362.184
South Australia,Retail trade,Skill level 2,1203.437,1304.89,1164.082
South Australia,Retail trade,Skill level 3,955.722,999.664,480
South Australia,Retail trade,Skill level 4,966.16,1045.733,948.205
South Australia,Retail trade,Skill level 5,501.856,600,484.066
South Australia,Accommodation and food services,Full-time,1057.13,985.564,1233.876
South Australia,Accommodation and food services,Part-time,400,432.305,380.18
South Australia,Accommodation and food services,Skill level 1,0,0,0
South Australia,Accommodation and food services,Skill level 2,1141.983,973.968,1201.934
South Australia,Accommodation and food services,Skill level 3,800,0,0
South Australia,Accommodation and food services,Skill level 4,692.893,626.108,703.219
South Australia,Accommodation and food services,Skill level 5,240.562,252.957,236.476
South Australia,"Transport, postal and warehousing",Full-time,1388,1400,1287.298
South Australia,"Transport, postal and warehousing",Part-time,801.616,764.006,0
South Australia,"Transport, postal and warehousing",Skill level 1,0,0,0
South Australia,"Transport, postal and warehousing",Skill level 2,0,0,0
South Australia,"Transport, postal and warehousing",Skill level 3,1559.588,0,0
South Australia,"Transport, postal and warehousing",Skill level 4,1225.384,1213.9,0
South Australia,"Transport, postal and warehousing",Skill level 5,1200,1200,0
South Australia,Information Media and telecommunications,Full-time,1951.22,1784.228,0
South Australia,Information Media and telecommunications,Part-time,642.002,0,0
South Australia,Information Media and telecommunications,Skill level 1,1845.882,2080.569,0
South Australia,Information Media and telecommunications,Skill level 2,0,0,0
South Australia,Information Media and telecommunications,Skill level 3,0,0,0
South Australia,Information Media and telecommunications,Skill level 4,0,0,0
South Australia,Information Media and telecommunications,Skill level 5,0,0,0
South Australia,Financial and insurance services,Full-time,1708.327,2267.752,1665
South Australia,Financial and insurance services,Part-time,1044.507,0,1054.221
South Australia,Financial and insurance services,Skill level 1,1959.519,2369.546,1689.477
South Australia,Financial and insurance services,Skill level 2,1731.685,2563.131,1643.724
South Australia,Financial and insurance services,Skill level 3,1212.985,0,1209.262
South Australia,Financial and insurance services,Skill level 4,1253.432,0,1261.573
South Australia,Financial and insurance services,Skill level 5,0,0,0
South Australia,"Rental, hiring and real estate services",Full-time,1568.707,1647.841,1193.249
South Australia,"Rental, hiring and real estate services",Part-time,0,0,0
South Australia,"Rental, hiring and real estate services",Skill level 1,0,0,0
South Australia,"Rental, hiring and real estate services",Skill level 2,965.648,0,0
South Australia,"Rental, hiring and real estate services",Skill level 3,1215.893,0,0
South Australia,"Rental, hiring and real estate services",Skill level 4,0,0,0
South Australia,"Rental, hiring and real estate services",Skill level 5,0,0,0
South Australia,"Professional, scientific and technical services",Full-time,1746.526,2000,1500.519
South Australia,"Professional, scientific and technical services",Part-time,669.308,1056.582,621.789
South Australia,"Professional, scientific and technical services",Skill level 1,1826.306,2000.886,1756.423
South Australia,"Professional, scientific and technical services",Skill level 2,1430.589,0,1323.604
South Australia,"Professional, scientific and technical services",Skill level 3,1126.371,0,0
South Australia,"Professional, scientific and technical services",Skill level 4,1173.741,0,1027.084
South Australia,"Professional, scientific and technical services",Skill level 5,0,0,0
South Australia,Administrative and support services,Full-time,1200,1506.316,1138.819
South Australia,Administrative and support services,Part-time,546.495,543.681,628.264
South Australia,Administrative and support services,Skill level 1,1221.403,0,1129.297
South Australia,Administrative and support services,Skill level 2,0,0,0
South Australia,Administrative and support services,Skill level 3,0,0,0
South Australia,Administrative and support services,Skill level 4,998.753,0,0
South Australia,Administrative and support services,Skill level 5,713.609,730.771,670.11
South Australia,Public administration and safety,Full-time,1778.759,2000,1650
South Australia,Public administration and safety,Part-time,938.589,739.103,1006.267
South Australia,Public administration and safety,Skill level 1,1919.286,2210.739,1648.914
South Australia,Public administration and safety,Skill level 2,1968.816,1922.462,1972.996
South Australia,Public administration and safety,Skill level 3,2040.169,2154.131,0
South Australia,Public administration and safety,Skill level 4,1235.712,1221.38,1226.218
South Australia,Public administration and safety,Skill level 5,1334.278,0,0
South Australia,Education and training,Full-time,1774.203,1900,1699.373
South Australia,Education and training,Part-time,835.39,926.7,824.24
South Australia,Education and training,Skill level 1,1549.723,1829.882,1412.19
South Australia,Education and training,Skill level 2,1728.076,0,0
South Australia,Education and training,Skill level 3,848.647,0,758.935
South Australia,Education and training,Skill level 4,900,1009.517,873.089
South Australia,Education and training,Skill level 5,915.243,0,0
South Australia,Health care and social assistance,Full-time,1447.988,1448.456,1440.607
South Australia,Health care and social assistance,Part-time,804.007,991.74,800
South Australia,Health care and social assistance,Skill level 1,1496.982,1742.179,1432.27
South Australia,Health care and social assistance,Skill level 2,1155.28,1328.08,1078.633
South Australia,Health care and social assistance,Skill level 3,800,0,800
South Australia,Health care and social assistance,Skill level 4,900,1011.187,867.55
South Australia,Health care and social assistance,Skill level 5,797.559,1160.034,720.801
South Australia,Arts and recreation services,Full-time,1034.026,0,1268.368
South Australia,Arts and recreation services,Part-time,583.872,591.649,330
South Australia,Arts and recreation services,Skill level 1,1163.911,0,1240.962
South Australia,Arts and recreation services,Skill level 2,0,0,0
South Australia,Arts and recreation services,Skill level 3,784.564,0,0
South Australia,Arts and recreation services,Skill level 4,478.229,596.248,0
South Australia,Arts and recreation services,Skill level 5,0,0,0
Western Australia,"Agriculture, forestry and fishing",Full-time,1323.688,1000,1945.362
Western Australia,"Agriculture, forestry and fishing",Part-time,0,0,0
Western Australia,"Agriculture, forestry and fishing",Skill level 1,0,0,0
Western Australia,"Agriculture, forestry and fishing",Skill level 2,0,0,0
Western Australia,"Agriculture, forestry and fishing",Skill level 3,0,0,0
Western Australia,"Agriculture, forestry and fishing",Skill level 4,0,0,0
Western Australia,"Agriculture, forestry and fishing",Skill level 5,0,0,0
Western Australia,Mining,Full-time,2500,2704.18,1901.309
Western Australia,Mining,Part-time,1328.092,1986.596,1153.726
Western Australia,Mining,Skill level 1,3221,3356.164,1977.078
Western Australia,Mining,Skill level 2,2301,2665.298,1488.184
Western Australia,Mining,Skill level 3,2436.312,2490.786,0
Western Australia,Mining,Skill level 4,2308.404,2522.252,1899.431
Western Australia,Mining,Skill level 5,1917.273,2786.834,1571.837
Western Australia,Manufacturing,Full-time,1637.331,1683.14,1562.237
Western Australia,Manufacturing,Part-time,617.322,569.925,622.073
Western Australia,Manufacturing,Skill level 1,2293.019,2494.843,2126.719
Western Australia,Manufacturing,Skill level 2,1870.18,1993.815,0
Western Australia,Manufacturing,Skill level 3,1500,1511.352,1285.661
Western Australia,Manufacturing,Skill level 4,1300,1299.985,1322.531
Western Australia,Manufacturing,Skill level 5,1039.989,1077,763.25
Western Australia,"Electricity, gas, water and waste services",Full-time,1900.39,2013.031,1664.061
Western Australia,"Electricity, gas, water and waste services",Part-time,0,0,0
Western Australia,"Electricity, gas, water and waste services",Skill level 1,2049.14,0,1846.513
Western Australia,"Electricity, gas, water and waste services",Skill level 2,0,0,0
Western Australia,"Electricity, gas, water and waste services",Skill level 3,0,0,0
Western Australia,"Electricity, gas, water and waste services",Skill level 4,0,0,0
Western Australia,"Electricity, gas, water and waste services",Skill level 5,0,0,0
Western Australia,Construction,Full-time,1737.329,1788.806,1531.713
Western Australia,Construction,Part-time,745.264,776.595,0
Western Australia,Construction,Skill level 1,2500.751,2591.931,0
Western Australia,Construction,Skill level 2,1951.247,1960.879,0
Western Australia,Construction,Skill level 3,1495.65,1487.426,0
Western Australia,Construction,Skill level 4,1572,1851.029,1268.901
Western Australia,Construction,Skill level 5,1443.874,1443.874,0
Western Australia,Wholesale trade,Full-time,1393.279,1605.121,1069.845
Western Australia,Wholesale trade,Part-time,550.463,453.22,552.331
Western Australia,Wholesale trade,Skill level 1,2143.463,2261.507,0
Western Australia,Wholesale trade,Skill level 2,0,0,0
Western Australia,Wholesale trade,Skill level 3,0,0,0
Western Australia,Wholesale trade,Skill level 4,1102.676,1190.781,1000
Western Australia,Wholesale trade,Skill level 5,1006.297,0,0
Western Australia,Retail trade,Full-time,1200,1450.718,1054
Western Australia,Retail trade,Part-time,487.243,386.02,503.743
Western Australia,Retail trade,Skill level 1,1646.136,1899.788,0
Western Australia,Retail trade,Skill level 2,1201.992,1534.921,1188.057
Western Australia,Retail trade,Skill level 3,1490.419,1355.821,0
Western Australia,Retail trade,Skill level 4,924.149,1157.061,783.746
Western Australia,Retail trade,Skill level 5,550,534.619,550
Western Australia,Accommodation and food services,Full-time,1137.41,1182.665,1107.84
Western Australia,Accommodation and food services,Part-time,406.895,386.251,424.676
Western Australia,Accommodation and food services,Skill level 1,867.7,876.33,0
Western Australia,Accommodation and food services,Skill level 2,1100,1000,1107.895
Western Australia,Accommodation and food services,Skill level 3,637.532,0,0
Western Australia,Accommodation and food services,Skill level 4,589.704,645.451,561.656
Western Australia,Accommodation and food services,Skill level 5,354.369,344.818,364.611
Western Australia,"Transport, postal and warehousing",Full-time,1500,1522.069,1285.224
Western Australia,"Transport, postal and warehousing",Part-time,787.373,704.838,903.621
Western Australia,"Transport, postal and warehousing",Skill level 1,2136.896,0,0
Western Australia,"Transport, postal and warehousing",Skill level 2,0,0,0
Western Australia,"Transport, postal and warehousing",Skill level 3,1500,0,0
Western Australia,"Transport, postal and warehousing",Skill level 4,1331.04,1408.526,969.726
Western Australia,"Transport, postal and warehousing",Skill level 5,1200,1371.466,1200
Western Australia,Information Media and telecommunications,Full-time,1752.25,1989.634,0
Western Australia,Information Media and telecommunications,Part-time,0,0,0
Western Australia,Information Media and telecommunications,Skill level 1,1999.145,2017.6,0
Western Australia,Information Media and telecommunications,Skill level 2,0,0,0
Western Australia,Information Media and telecommunications,Skill level 3,1817.956,0,0
Western Australia,Information Media and telecommunications,Skill level 4,0,0,0
Western Australia,Information Media and telecommunications,Skill level 5,0,0,0
Western Australia,Financial and insurance services,Full-time,1975.579,2012.066,1906.574
Western Australia,Financial and insurance services,Part-time,768.702,0,722.357
Western Australia,Financial and insurance services,Skill level 1,1971.872,2177.695,1863.511
Western Australia,Financial and insurance services,Skill level 2,0,0,0
Western Australia,Financial and insurance services,Skill level 3,1772.613,2386.678,954.771
Western Australia,Financial and insurance services,Skill level 4,0,0,0
Western Australia,Financial and insurance services,Skill level 5,0,0,0
Western Australia,"Rental, hiring and real estate services",Full-time,1443.241,1616.725,1235.555
Western Australia,"Rental, hiring and real estate services",Part-time,439.585,0,447.575
Western Australia,"Rental, hiring and real estate services",Skill level 1,0,2518.816,0
Western Australia,"Rental, hiring and real estate services",Skill level 2,1313.173,0,0
Western Australia,"Rental, hiring and real estate services",Skill level 3,1062.691,0,0
Western Australia,"Rental, hiring and real estate services",Skill level 4,1308.672,0,0
Western Australia,"Rental, hiring and real estate services",Skill level 5,0,0,0
Western Australia,"Professional, scientific and technical services",Full-time,1913.416,2000,1819.055
Western Australia,"Professional, scientific and technical services",Part-time,736.646,1138.295,715.388
Western Australia,"Professional, scientific and technical services",Skill level 1,2056.469,2185.438,1845.785
Western Australia,"Professional, scientific and technical services",Skill level 2,1330.409,1474.653,942.077
Western Australia,"Professional, scientific and technical services",Skill level 3,1238.708,0,707.778
Western Australia,"Professional, scientific and technical services",Skill level 4,1412.553,0,1339.281
Western Australia,"Professional, scientific and technical services",Skill level 5,0,0,0
Western Australia,Administrative and support services,Full-time,1589.077,1700,1532.472
Western Australia,Administrative and support services,Part-time,504.952,0,558.33
Western Australia,Administrative and support services,Skill level 1,1796.49,0,1792.341
Western Australia,Administrative and support services,Skill level 2,1268.985,0,0
Western Australia,Administrative and support services,Skill level 3,1944.891,0,0
Western Australia,Administrative and support services,Skill level 4,1177.553,0,0
Western Australia,Administrative and support services,Skill level 5,529.779,825.977,423.012
Western Australia,Public administration and safety,Full-time,1755.95,1760.932,1750.581
Western Australia,Public administration and safety,Part-time,861.874,774.654,862.91
Western Australia,Public administration and safety,Skill level 1,2017.06,1979.947,2147.584
Western Australia,Public administration and safety,Skill level 2,1852.261,2145.467,1726.784
Western Australia,Public administration and safety,Skill level 3,1365.088,0,0
Western Australia,Public administration and safety,Skill level 4,1500,1707.867,1440.174
Western Australia,Public administration and safety,Skill level 5,1298.031,1307.033,0
Western Australia,Education and training,Full-time,1549.137,1607.78,1504.224
Western Australia,Education and training,Part-time,812.933,719.81,831.556
Western Australia,Education and training,Skill level 1,1591.083,1739.229,1500
Western Australia,Education and training,Skill level 2,974.92,0,0
Western Australia,Education and training,Skill level 3,938.101,0,864.406
Western Australia,Education and training,Skill level 4,900,0,926.605
Western Australia,Education and training,Skill level 5,0,0,0
Western Australia,Health care and social assistance,Full-time,1500,1743,1400.744
Western Australia,Health care and social assistance,Part-time,800,749.331,800
Western Australia,Health care and social assistance,Skill level 1,1552.961,2000,1500
Western Australia,Health care and social assistance,Skill level 2,1250,1656.11,1247.953
Western Australia,Health care and social assistance,Skill level 3,827,0,812.437
Western Australia,Health care and social assistance,Skill level 4,984.473,1094.18,900
Western Australia,Health care and social assistance,Skill level 5,897.767,0,905.182
Western Australia,Arts and recreation services,Full-time,1671.205,1922.309,1342.387
Western Australia,Arts and recreation services,Part-time,555.022,477.994,663.817
Western Australia,Arts and recreation services,Skill level 1,1704.791,1970.65,1257.159
Western Australia,Arts and recreation services,Skill level 2,977.789,0,0
Western Australia,Arts and recreation services,Skill level 3,316.49,279.07,319.611
Western Australia,Arts and recreation services,Skill level 4,650.051,587.302,0
Western Australia,Arts and recreation services,Skill level 5,741.722,0,0
Tasmania,"Agriculture, forestry and fishing",Full-time,1346.549,1344.812,0
Tasmania,"Agriculture, forestry and fishing",Part-time,602.041,557.009,0
Tasmania,"Agriculture, forestry and fishing",Skill level 1,1291.214,1313.67,0
Tasmania,"Agriculture, forestry and fishing",Skill level 2,0,0,0
Tasmania,"Agriculture, forestry and fishing",Skill level 3,0,0,0
Tasmania,"Agriculture, forestry and fishing",Skill level 4,1795.868,0,0
Tasmania,"Agriculture, forestry and fishing",Skill level 5,948.978,1004.314,0
Tasmania,Mining,Full-time,2225.083,2193.872,0
Tasmania,Mining,Part-time,0,0,0
Tasmania,Mining,Skill level 1,0,0,0
Tasmania,Mining,Skill level 2,0,0,0
Tasmania,Mining,Skill level 3,0,0,0
Tasmania,Mining,Skill level 4,1404.002,1404.002,0
Tasmania,Mining,Skill level 5,2035.191,2035.191,0
Tasmania,Manufacturing,Full-time,1463.213,1499.313,1276.728
Tasmania,Manufacturing,Part-time,697.656,731.114,685.15
Tasmania,Manufacturing,Skill level 1,2023.772,1988.08,2074.096
Tasmania,Manufacturing,Skill level 2,1589.492,2032.633,0
Tasmania,Manufacturing,Skill level 3,1437.572,1605.034,0
Tasmania,Manufacturing,Skill level 4,1249.104,1278.613,964.46
Tasmania,Manufacturing,Skill level 5,938.876,1188.233,734.11
Tasmania,"Electricity, gas, water and waste services",Full-time,1791.3,2298.171,1504.143
Tasmania,"Electricity, gas, water and waste services",Part-time,0,0,0
Tasmania,"Electricity, gas, water and waste services",Skill level 1,2101.626,2533,0
Tasmania,"Electricity, gas, water and waste services",Skill level 2,2231.454,2325.078,0
Tasmania,"Electricity, gas, water and waste services",Skill level 3,0,0,0
Tasmania,"Electricity, gas, water and waste services",Skill level 4,0,1396.985,0
Tasmania,"Electricity, gas, water and waste services",Skill level 5,0,0,0
Tasmania,Construction,Full-time,1273.359,1333.418,1022.932
Tasmania,Construction,Part-time,576.271,335.138,0
Tasmania,Construction,Skill level 1,2109.548,2109.548,0
Tasmania,Construction,Skill level 2,1541.529,0,0
Tasmania,Construction,Skill level 3,1241.728,1211.497,0
Tasmania,Construction,Skill level 4,1171.004,1424.496,888.308
Tasmania,Construction,Skill level 5,1033.538,1162.144,0
Tasmania,Wholesale trade,Full-time,1359.897,1300,0
Tasmania,Wholesale trade,Part-time,0,0,0
Tasmania,Wholesale trade,Skill level 1,1934.986,0,0
Tasmania,Wholesale trade,Skill level 2,0,0,0
Tasmania,Wholesale trade,Skill level 3,0,0,0
Tasmania,Wholesale trade,Skill level 4,1200.983,0,0
Tasmania,Wholesale trade,Skill level 5,0,0,0
Tasmania,Retail trade,Full-time,1152.346,1098.866,1191.39
Tasmania,Retail trade,Part-time,409.385,384,468.714
Tasmania,Retail trade,Skill level 1,1493.978,1990.977,1263.742
Tasmania,Retail trade,Skill level 2,1207.99,0,0
Tasmania,Retail trade,Skill level 3,872.708,0,0
Tasmania,Retail trade,Skill level 4,1062.061,1054.516,0
Tasmania,Retail trade,Skill level 5,584.406,740.885,550
Tasmania,Accommodation and food services,Full-time,1152.054,1178.25,1070.83
Tasmania,Accommodation and food services,Part-time,406.048,407.7,407.08
Tasmania,Accommodation and food services,Skill level 1,0,0,0
Tasmania,Accommodation and food services,Skill level 2,1100,1117.064,1081.525
Tasmania,Accommodation and food services,Skill level 3,0,0,0
Tasmania,Accommodation and food services,Skill level 4,666.877,1007.441,577.131
Tasmania,Accommodation and food services,Skill level 5,266.071,240,293.677
Tasmania,"Transport, postal and warehousing",Full-time,1450,1450,1379.092
Tasmania,"Transport, postal and warehousing",Part-time,588.078,515.123,627.472
Tasmania,"Transport, postal and warehousing",Skill level 1,1547.144,0,0
Tasmania,"Transport, postal and warehousing",Skill level 2,0,0,0
Tasmania,"Transport, postal and warehousing",Skill level 3,0,0,0
Tasmania,"Transport, postal and warehousing",Skill level 4,1227.05,1256.525,0
Tasmania,"Transport, postal and warehousing",Skill level 5,1251.82,1248.075,0
Tasmania,Information Media and telecommunications,Full-time,1674.216,1801.761,0
Tasmania,Information Media and telecommunications,Part-time,0,0,0
Tasmania,Information Media and telecommunications,Skill level 1,1735.899,1862.269,0
Tasmania,Information Media and telecommunications,Skill level 2,0,0,0
Tasmania,Information Media and telecommunications,Skill level 3,0,0,0
Tasmania,Information Media and telecommunications,Skill level 4,0,0,0
Tasmania,Information Media and telecommunications,Skill level 5,0,0,0
Tasmania,Financial and insurance services,Full-time,1913.779,2046.85,1816.75
Tasmania,Financial and insurance services,Part-time,0,0,695.519
Tasmania,Financial and insurance services,Skill level 1,1717.481,2093.367,0
Tasmania,Financial and insurance services,Skill level 2,2099.679,0,2097.759
Tasmania,Financial and insurance services,Skill level 3,1020.438,0,0
Tasmania,Financial and insurance services,Skill level 4,0,0,0
Tasmania,Financial and insurance services,Skill level 5,0,0,0
Tasmania,"Rental, hiring and real estate services",Full-time,1293.86,0,1209.437
Tasmania,"Rental, hiring and real estate services",Part-time,0,0,0
Tasmania,"Rental, hiring and real estate services",Skill level 1,0,0,0
Tasmania,"Rental, hiring and real estate services",Skill level 2,0,0,0
Tasmania,"Rental, hiring and real estate services",Skill level 3,1611.341,0,1609.433
Tasmania,"Rental, hiring and real estate services",Skill level 4,1088.852,0,1088.852
Tasmania,"Rental, hiring and real estate services",Skill level 5,0,0,0
Tasmania,"Professional, scientific and technical services",Full-time,1704.906,1868.128,1533.736
Tasmania,"Professional, scientific and technical services",Part-time,1038.746,0,1050
Tasmania,"Professional, scientific and technical services",Skill level 1,1605.325,1748.391,1457.618
Tasmania,"Professional, scientific and technical services",Skill level 2,1563.467,1856.47,1323.088
Tasmania,"Professional, scientific and technical services",Skill level 3,0,0,0
Tasmania,"Professional, scientific and technical services",Skill level 4,0,0,864.119
Tasmania,"Professional, scientific and technical services",Skill level 5,0,0,0
Tasmania,Administrative and support services,Full-time,1154.373,1165.807,1096.696
Tasmania,Administrative and support services,Part-time,542.441,618.481,506.772
Tasmania,Administrative and support services,Skill level 1,981.562,0,0
Tasmania,Administrative and support services,Skill level 2,0,0,0
Tasmania,Administrative and support services,Skill level 3,0,0,0
Tasmania,Administrative and support services,Skill level 4,1120.281,0,891.413
