Stateandterritory,Industry,Category,PersonsMedianweeklyearnings,MalesMedianweeklyearnings,FemalesMedianweeklyearnings
Australia,"Professional, scientific and technical services",Full-time,1900,2109,1726
Australia,"Professional, scientific and technical services",Part-time,799.25,705.524,826.087
Australia,"Professional, scientific and technical services",Skill level 1,1988.5,2148.865,1819.003
Australia,"Professional, scientific and technical services",Skill level 2,1381.14,1600,1262.018
Australia,"Professional, scientific and technical services",Skill level 3,1096.75,1426.811,1000
Australia,"Professional, scientific and technical services",Skill level 4,1194.789,1525,1150
Australia,"Professional, scientific and technical services",Skill level 5,1034.905,1254.835,1008.657
Australia,Administrative and support services,Full-time,1400,1531.363,1343.578
Australia,Administrative and support services,Part-time,600,550.928,603.208
Australia,Administrative and support services,Skill level 1,1594.294,1747.669,1520
Australia,Administrative and support services,Skill level 2,1494.074,1679.373,1438
Australia,Administrative and support services,Skill level 3,1080.643,1214.637,911.817
Australia,Administrative and support services,Skill level 4,1150.583,1352.157,1097.893
Australia,Administrative and support services,Skill level 5,763.41,890.716,646.434
Australia,Public administration and safety,Full-time,1750,1800,1724.346
Australia,Public administration and safety,Part-time,1000,900,1000
Australia,Public administration and safety,Skill level 1,2014.957,2228.154,1877.881
Australia,Public administration and safety,Skill level 2,1751.577,1847.829,1641.683
Australia,Public administration and safety,Skill level 3,1566.462,1600,1414.376
Australia,Public administration and safety,Skill level 4,1400,1500,1307.129
Australia,Public administration and safety,Skill level 5,1250,1321.735,1199.768
Australia,Education and training,Full-time,1750,1931.944,1690.576
Australia,Education and training,Part-time,800,750,805
Australia,Education and training,Skill level 1,1641.074,1907.798,1534
Australia,Education and training,Skill level 2,1359.26,1604.026,1198.102
Australia,Education and training,Skill level 3,950,1204.575,879.132
Australia,Education and training,Skill level 4,809.425,805.889,809.409
Australia,Education and training,Skill level 5,604.151,844.268,566.14
Australia,Health care and social assistance,Full-time,1579.424,1750,1530
Australia,Health care and social assistance,Part-time,840.974,850.079,837.622
Australia,Health care and social assistance,Skill level 1,1650,2000.943,1535.883
Australia,Health care and social assistance,Skill level 2,1258.535,1500,1220.59
Australia,Health care and social assistance,Skill level 3,888,1099.454,850
Australia,Health care and social assistance,Skill level 4,950,1050,900
Australia,Health care and social assistance,Skill level 5,800,940.858,750
Australia,Arts and recreation services,Full-time,1450,1596.755,1300
Australia,Arts and recreation services,Part-time,475.838,435.795,557.877
Australia,Arts and recreation services,Skill level 1,1765.033,1941.497,1632.993
Australia,Arts and recreation services,Skill level 2,1140.123,1204.639,1018.046
Australia,Arts and recreation services,Skill level 3,800,809.294,713.288
Australia,Arts and recreation services,Skill level 4,700,700.143,660.965
Australia,Arts and recreation services,Skill level 5,615.006,732.06,578.096
New South Wales,"Agriculture, forestry and fishing",Full-time,1216.837,1200,0
New South Wales,"Agriculture, forestry and fishing",Part-time,0,0,0
New South Wales,"Agriculture, forestry and fishing",Skill level 1,1743.945,1767.428,0
New South Wales,"Agriculture, forestry and fishing",Skill level 2,0,0,0
New South Wales,"Agriculture, forestry and fishing",Skill level 3,0,0,0
New South Wales,"Agriculture, forestry and fishing",Skill level 4,974.58,0,828.994
New South Wales,"Agriculture, forestry and fishing",Skill level 5,1000.801,1113.37,414.825
New South Wales,Mining,Full-time,2750.591,2822.413,0
New South Wales,Mining,Part-time,0,0,0
New South Wales,Mining,Skill level 1,3087.946,3435.643,0
New South Wales,Mining,Skill level 2,0,0,0
New South Wales,Mining,Skill level 3,0,0,0
New South Wales,Mining,Skill level 4,2500,2750.091,0
New South Wales,Mining,Skill level 5,0,0,0
New South Wales,Manufacturing,Full-time,1607.468,1650,1525.639
New South Wales,Manufacturing,Part-time,562.343,700,506.52
New South Wales,Manufacturing,Skill level 1,2219.843,2198.158,2264.815
New South Wales,Manufacturing,Skill level 2,1427.444,2178.701,1378.393
New South Wales,Manufacturing,Skill level 3,1346.069,1346,0
New South Wales,Manufacturing,Skill level 4,1200,1283.137,1195.795
New South Wales,Manufacturing,Skill level 5,1147.924,1234.994,1060.523
New South Wales,"Electricity, gas, water and waste services",Full-time,1903.228,1942.921,1454.485
New South Wales,"Electricity, gas, water and waste services",Part-time,0,0,0
New South Wales,"Electricity, gas, water and waste services",Skill level 1,2178.09,2152.914,2469.508
New South Wales,"Electricity, gas, water and waste services",Skill level 2,2511.011,2692.231,0
New South Wales,"Electricity, gas, water and waste services",Skill level 3,0,0,0
New South Wales,"Electricity, gas, water and waste services",Skill level 4,1322.554,1526.911,0
New South Wales,"Electricity, gas, water and waste services",Skill level 5,0,1415.669,0
New South Wales,Construction,Full-time,1501.014,1501.125,1589.77
New South Wales,Construction,Part-time,609.433,600,726.982
New South Wales,Construction,Skill level 1,1940.51,1797.883,1970.813
New South Wales,Construction,Skill level 2,1809.779,1874.054,1030.867
New South Wales,Construction,Skill level 3,1103.957,1105.735,1573.174
New South Wales,Construction,Skill level 4,1400,1551.424,1000
New South Wales,Construction,Skill level 5,1312.171,1306.765,0
New South Wales,Wholesale trade,Full-time,1491.171,1503.419,1335.953
New South Wales,Wholesale trade,Part-time,675.963,0,673.573
New South Wales,Wholesale trade,Skill level 1,2007.358,2007.304,2162.922
New South Wales,Wholesale trade,Skill level 2,1708.961,2037.605,0
New South Wales,Wholesale trade,Skill level 3,1492.53,1502.558,0
New South Wales,Wholesale trade,Skill level 4,1245.127,1246,1200.371
New South Wales,Wholesale trade,Skill level 5,1113.573,1148.164,0
New South Wales,Retail trade,Full-time,1301.614,1361.357,1200
New South Wales,Retail trade,Part-time,525.674,539.173,523.195
New South Wales,Retail trade,Skill level 1,1712.083,2015.275,1562.621
New South Wales,Retail trade,Skill level 2,1493.463,1590.025,1393.567
New South Wales,Retail trade,Skill level 3,933.089,0,660.274
New South Wales,Retail trade,Skill level 4,1133.782,1209.901,1039.002
New South Wales,Retail trade,Skill level 5,600,611.584,600
New South Wales,Accommodation and food services,Full-time,1252.817,1385.16,1199.754
New South Wales,Accommodation and food services,Part-time,400,308.922,447.343
New South Wales,Accommodation and food services,Skill level 1,2088.037,0,0
New South Wales,Accommodation and food services,Skill level 2,1140.571,1260.471,929.685
New South Wales,Accommodation and food services,Skill level 3,1043.661,1072.287,0
New South Wales,Accommodation and food services,Skill level 4,625,644.2,623.725
New South Wales,Accommodation and food services,Skill level 5,429.893,380.568,551.207
New South Wales,"Transport, postal and warehousing",Full-time,1567.754,1629.336,1399.685
New South Wales,"Transport, postal and warehousing",Part-time,750.494,860.033,604.17
New South Wales,"Transport, postal and warehousing",Skill level 1,2351.482,2527.876,1721.746
New South Wales,"Transport, postal and warehousing",Skill level 2,1696.962,0,1507.543
New South Wales,"Transport, postal and warehousing",Skill level 3,1817.836,1804.717,0
New South Wales,"Transport, postal and warehousing",Skill level 4,1326.221,1381.837,1208.123
New South Wales,"Transport, postal and warehousing",Skill level 5,1050.936,1098.618,1021.711
New South Wales,Information Media and telecommunications,Full-time,2006.129,2301,1768.423
New South Wales,Information Media and telecommunications,Part-time,1000.267,1753.269,916.179
New South Wales,Information Media and telecommunications,Skill level 1,2218.612,2955.768,1805.617
New South Wales,Information Media and telecommunications,Skill level 2,1234.287,2294.336,0
New South Wales,Information Media and telecommunications,Skill level 3,0,0,0
New South Wales,Information Media and telecommunications,Skill level 4,0,0,0
New South Wales,Information Media and telecommunications,Skill level 5,0,0,0
New South Wales,Financial and insurance services,Full-time,2202.029,2401.239,2000
New South Wales,Financial and insurance services,Part-time,850.284,0,826.799
New South Wales,Financial and insurance services,Skill level 1,2483.634,2576.378,2219.043
New South Wales,Financial and insurance services,Skill level 2,2334.337,2593.365,2226.104
New South Wales,Financial and insurance services,Skill level 3,1638.678,2063.181,1433.152
New South Wales,Financial and insurance services,Skill level 4,1352.132,1438,1125.931
New South Wales,Financial and insurance services,Skill level 5,0,0,0
New South Wales,"Rental, hiring and real estate services",Full-time,1412.904,1738.277,1332.038
New South Wales,"Rental, hiring and real estate services",Part-time,577.687,641.464,550
New South Wales,"Rental, hiring and real estate services",Skill level 1,2019.316,2159.76,1929.44
New South Wales,"Rental, hiring and real estate services",Skill level 2,1615.898,2290.491,1200.502
